Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização
2274100-32.2025.8.10.7402,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"15.769,40","0,00"
1794483-27.2025.8.25.6628,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"11.538,81","0,00"
1621103-43.2025.8.08.2207,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"19.882,54","0,00"
8097773-37.2025.8.03.4083,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"8.492,28","0,00"
8474183-87.2025.8.22.7925,RO,Não reconhece operação,Genérico,Êxito,Extinção,"18.990,61","0,00"
4672879-30.2025.8.16.1898,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"9.385,87","0,00"
2089539-30.2025.8.19.6569,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"3.876,36","0,00"
7412330-24.2025.8.01.4916,AC,Não reconhece operação,Golpe,Êxito,Extinção,"17.360,15","0,00"
6493511-49.2025.8.20.5794,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"17.007,05","0,00"
9693667-78.2025.8.13.4675,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"13.694,57","0,00"
3743639-18.2025.8.06.7300,CE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"7.650,00","2.677,50"
1990461-69.2025.8.02.0738,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"11.694,02","0,00"
6263268-59.2025.8.11.7462,MT,Não reconhece operação,Golpe,Não Êxito,Procedência,"10.926,57","10.598,77"
1093106-46.2025.8.10.9997,MA,Não reconhece operação,Golpe,Êxito,Extinção,"20.879,57","0,00"
5156105-48.2025.8.18.7160,PI,Não reconhece operação,Golpe,Êxito,Extinção,"16.859,25","0,00"
4407290-22.2025.8.11.6357,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"13.485,87","0,00"
1946880-03.2025.8.17.3847,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"10.778,59","0,00"
1809683-78.2025.8.09.5663,GO,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"20.100,03","14.472,02"
6631924-43.2025.8.19.5335,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"20.724,80","0,00"
6343088-23.2025.8.25.4639,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"13.511,10","0,00"
2899286-30.2025.8.26.9746,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"17.073,49","0,00"
1132721-34.2025.8.15.4365,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"12.910,18","0,00"
5894341-55.2025.8.10.2195,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"20.234,87","0,00"
7960793-69.2025.8.24.5565,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"19.505,43","0,00"
6309289-24.2025.8.24.9067,SC,Não reconhece operação,Genérico,Êxito,Extinção,"12.652,76","0,00"
8852580-02.2025.8.21.1800,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"11.255,65","0,00"
8950404-93.2025.8.17.6692,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"12.576,76","0,00"
9810760-55.2025.8.25.9348,SE,Não reconhece operação,Genérico,Êxito,Extinção,"10.846,44","0,00"
2658344-71.2025.8.12.6869,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"17.682,44","0,00"
2353638-68.2025.8.22.4596,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"20.168,26","0,00"
8396135-40.2025.8.02.6440,AL,Não reconhece operação,Genérico,Êxito,Extinção,"23.254,37","0,00"
6486072-64.2025.8.12.5487,MS,Não reconhece operação,Golpe,Êxito,Extinção,"3.971,55","0,00"
8113223-92.2025.8.09.8835,GO,Não reconhece operação,Genérico,Êxito,Improcedência,"20.213,33","0,00"
9323240-59.2025.8.16.0364,PR,Não reconhece operação,Genérico,Êxito,Improcedência,"15.979,95","0,00"
4282484-72.2025.8.21.3610,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"10.026,98","8.322,39"
1511501-63.2025.8.26.1538,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"20.534,99","0,00"
1410122-76.2025.8.09.7785,GO,Não reconhece operação,Golpe,Êxito,Extinção,"14.084,96","0,00"
9197551-52.2025.8.12.6156,MS,Não reconhece operação,Golpe,Êxito,Extinção,"11.438,15","0,00"
4908207-03.2025.8.14.9837,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"11.886,61","0,00"
6739504-06.2025.8.18.8533,PI,Não reconhece operação,Genérico,Êxito,Extinção,"5.024,27","0,00"
8081336-04.2025.8.24.3401,SC,Não reconhece operação,Golpe,Êxito,Extinção,"19.473,51","0,00"
4625791-02.2025.8.12.4998,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"10.258,35","0,00"
2353265-57.2025.8.20.7242,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"13.904,81","0,00"
1540809-97.2025.8.03.7515,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"12.917,72","9.559,11"
8755804-95.2025.8.09.4326,GO,Não reconhece operação,Genérico,Êxito,Extinção,"23.148,02","0,00"
9062304-25.2025.8.10.1448,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"20.918,85","0,00"
2551027-31.2025.8.16.0942,PR,Não reconhece operação,Genérico,Êxito,Extinção,"12.265,61","0,00"
6205115-49.2025.8.19.3865,RJ,Não reconhece operação,Golpe,Êxito,Extinção,"9.033,54","0,00"
9276552-70.2025.8.27.3520,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"16.864,69","0,00"
5541733-12.2025.8.09.3353,GO,Não reconhece operação,Genérico,Êxito,Improcedência,"10.902,48","0,00"
6102544-10.2025.8.13.4738,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"13.140,57","0,00"
7280805-77.2025.8.02.8093,AL,Não reconhece operação,Genérico,Êxito,Improcedência,"15.776,13","0,00"
7219592-08.2025.8.13.2398,MG,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.205,67","10.869,50"
4990976-47.2025.8.15.4667,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"13.682,81","0,00"
7288225-15.2025.8.12.6670,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.667,48","8.883,86"
1660146-03.2025.8.22.8485,RO,Não reconhece operação,Golpe,Êxito,Extinção,"18.505,07","0,00"
1537902-84.2025.8.20.4091,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"16.526,27","0,00"
9434971-32.2025.8.19.7155,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"16.890,96","16.553,14"
9337159-95.2025.8.09.8411,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"20.232,95","0,00"
7638382-32.2025.8.03.6853,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.532,67","11.096,79"
5193456-62.2025.8.11.2025,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"2.684,76","0,00"
6002175-15.2025.8.03.4372,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"18.787,07","0,00"
1798348-94.2025.8.21.9081,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"13.434,39","0,00"
8036856-58.2025.8.17.9887,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.311,52","16.028,56"
5446672-26.2025.8.04.5346,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.343,04","17.287,86"
7348133-81.2025.8.03.0865,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"21.261,43","0,00"
2764193-92.2025.8.20.2532,RN,Não reconhece operação,Golpe,Êxito,Extinção,"9.803,80","0,00"
1648081-07.2025.8.20.8556,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.399,98","13.773,99"
6724575-70.2025.8.06.8713,CE,Não reconhece operação,Golpe,Êxito,Extinção,"7.761,98","0,00"
9362169-95.2025.8.05.2784,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"11.640,70","0,00"
5715443-91.2025.8.12.6845,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"14.822,19","0,00"
4190495-09.2025.8.15.1491,PB,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.488,73","13.909,18"
4667973-91.2025.8.25.5209,SE,Não reconhece operação,Genérico,Êxito,Extinção,"21.157,34","0,00"
4931408-63.2025.8.02.2138,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"16.887,60","0,00"
9522776-01.2025.8.03.2069,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"6.968,52","6.829,15"
8905161-50.2025.8.24.0565,SC,Não reconhece operação,Genérico,Êxito,Extinção,"10.143,46","0,00"
3752118-40.2025.8.17.9562,PE,Não reconhece operação,Genérico,Êxito,Extinção,"16.757,48","0,00"
9255095-11.2025.8.27.7921,TO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.446,41","5.489,64"
1065712-15.2025.8.22.1077,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.853,91","0,00"
1180263-57.2025.8.05.0063,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"17.488,56","0,00"
9784167-37.2025.8.06.4052,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"6.897,87","0,00"
2279657-58.2025.8.08.1508,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"8.194,67","4.834,86"
3669467-60.2025.8.20.1344,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.102,12","8.179,23"
5417969-51.2025.8.19.8569,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"13.335,48","0,00"
5116355-81.2025.8.08.4974,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"7.268,12","4.724,28"
3989919-51.2025.8.01.6001,AC,Não reconhece operação,Golpe,Êxito,Extinção,"21.523,76","0,00"
4980355-30.2025.8.20.6601,RN,Não reconhece operação,Genérico,Êxito,Extinção,"17.499,82","0,00"
6543891-30.2025.8.13.5052,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"8.219,39","0,00"
2977923-33.2025.8.11.6397,MT,Não reconhece operação,Golpe,Êxito,Extinção,"17.968,95","0,00"
9487834-86.2025.8.12.4583,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"22.505,64","0,00"
6878389-78.2025.8.09.5222,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,"15.003,19","13.802,93"
8856523-33.2025.8.22.3546,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.605,50","0,00"
4418590-10.2025.8.15.5830,PB,Não reconhece operação,Golpe,Êxito,Extinção,"17.671,77","0,00"
6406394-62.2025.8.09.1793,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"17.134,07","0,00"
4146015-86.2025.8.04.6843,AM,Não reconhece operação,Genérico,Êxito,Extinção,"17.101,29","0,00"
8295715-89.2025.8.18.1947,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"11.477,46","0,00"
8559306-14.2025.8.25.5151,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.468,25","10.894,84"
5789574-79.2025.8.01.4482,AC,Não reconhece operação,Golpe,Êxito,Extinção,"19.470,15","0,00"
8378641-17.2025.8.01.7174,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"13.537,38","0,00"
3917789-89.2025.8.27.2895,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"15.407,75","0,00"
1671289-57.2025.8.17.3367,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.403,83","11.226,34"
9810420-70.2025.8.18.4535,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.708,84","15.902,51"
8138985-92.2025.8.02.4778,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"14.427,48","0,00"
5789305-39.2025.8.03.1184,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"16.043,48","0,00"
4895914-93.2025.8.03.1721,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"6.995,71","0,00"
6742570-39.2025.8.07.4971,DF,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"12.143,92","4.614,69"
9537799-39.2025.8.06.2679,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"8.505,81","0,00"
4327501-75.2025.8.01.1278,AC,Não reconhece operação,Golpe,Êxito,Extinção,"20.752,83","0,00"
6228689-61.2025.8.01.9630,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"14.529,74","0,00"
7394125-31.2025.8.18.6900,PI,Não reconhece operação,Golpe,Êxito,Extinção,"18.792,48","0,00"
6016805-85.2025.8.21.9217,RS,Não reconhece operação,Golpe,Êxito,Extinção,"6.746,74","0,00"
5868789-74.2025.8.11.5958,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"16.941,50","0,00"
2425003-66.2025.8.05.8932,BA,Não reconhece operação,Genérico,Êxito,Extinção,"9.243,99","0,00"
8073366-92.2025.8.04.8742,AM,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"18.100,31","13.394,23"
6179257-75.2025.8.02.2870,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"18.754,97","0,00"
4396400-58.2025.8.11.7217,MT,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.998,85","11.758,87"
7691004-03.2025.8.05.9023,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.367,52","12.306,24"
2239603-68.2025.8.09.1222,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"17.766,61","0,00"
1336229-66.2025.8.02.2861,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.471,95","10.324,76"
8711050-04.2025.8.20.8959,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"14.750,05","0,00"
1148407-21.2025.8.01.5383,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.731,18","15.359,57"
8737940-10.2025.8.08.7404,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"16.627,61","0,00"
1685199-53.2025.8.26.2597,SP,Não reconhece operação,Golpe,Êxito,Extinção,"11.532,47","0,00"
7278408-20.2025.8.02.3938,AL,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"13.425,39","8.458,00"
5830487-37.2025.8.16.6012,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"15.611,66","0,00"
7135723-28.2025.8.19.3327,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"17.049,56","0,00"
4940679-49.2025.8.02.2570,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"12.626,99","0,00"
3531623-07.2025.8.15.8488,PB,Não reconhece operação,Golpe,Não Êxito,Procedência,"20.109,91","20.109,91"
5648581-74.2025.8.05.0634,BA,Não reconhece operação,Golpe,Êxito,Extinção,"5.172,22","0,00"
8235248-30.2025.8.19.0793,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"13.112,22","0,00"
2799523-55.2025.8.15.0012,PB,Não reconhece operação,Golpe,Êxito,Extinção,"4.998,56","0,00"
6997896-62.2025.8.11.8113,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"14.713,72","0,00"
2532764-58.2025.8.01.8347,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"26.121,30","0,00"
5479639-44.2025.8.10.4136,MA,Não reconhece operação,Golpe,Não Êxito,Procedência,"21.685,19","19.733,52"
1399645-88.2025.8.20.1292,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.078,90","8.024,97"
5287905-31.2025.8.12.2973,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"15.739,44","0,00"
4964122-66.2025.8.11.0317,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.391,64","7.339,74"
4555094-94.2025.8.26.8179,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"10.208,47","6.431,34"
5663646-00.2025.8.07.4345,DF,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"25.103,47","14.560,01"
6915143-71.2025.8.26.5370,SP,Não reconhece operação,Genérico,Êxito,Improcedência,"11.824,37","0,00"
1195906-65.2025.8.06.0297,CE,Não reconhece operação,Genérico,Êxito,Extinção,"13.779,41","0,00"
8852843-51.2025.8.03.3973,AP,Não reconhece operação,Golpe,Êxito,Extinção,"22.537,38","0,00"
6660765-83.2025.8.03.8551,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"15.548,58","0,00"
7129397-01.2025.8.07.6706,DF,Não reconhece operação,Golpe,Êxito,Improcedência,"16.122,11","0,00"
6984622-24.2025.8.22.1491,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"19.319,13","0,00"
6894020-02.2025.8.10.1283,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"17.559,09","0,00"
7101234-71.2025.8.15.9621,PB,Não reconhece operação,Genérico,Êxito,Improcedência,"9.297,19","0,00"
3925027-79.2025.8.12.7945,MS,Não reconhece operação,Golpe,Não Êxito,Procedência,"3.636,37","3.309,10"
6478841-08.2025.8.09.2581,GO,Não reconhece operação,Genérico,Êxito,Improcedência,"13.232,48","0,00"
8089296-10.2025.8.26.1871,SP,Não reconhece operação,Genérico,Não Êxito,Procedência,"15.053,91","15.053,91"
5317482-43.2025.8.25.7987,SE,Não reconhece operação,Golpe,Êxito,Extinção,"18.036,72","0,00"
2871203-00.2025.8.13.5633,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"22.435,89","0,00"
1245948-92.2025.8.04.8350,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"18.897,92","15.118,34"
8805292-62.2025.8.19.1343,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"12.458,17","10.340,28"
9382804-18.2025.8.05.4301,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"9.155,58","8.789,36"
3633590-49.2025.8.11.7788,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.002,60","3.900,78"
6172417-09.2025.8.13.0378,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"16.656,96","0,00"
8195181-57.2025.8.03.0629,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"10.035,44","9.533,67"
9606587-51.2025.8.20.8386,RN,Não reconhece operação,Golpe,Êxito,Extinção,"15.808,71","0,00"
1687733-57.2025.8.18.4184,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.056,30","10.401,66"
5713197-89.2025.8.24.4528,SC,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"7.563,55","5.143,21"
4885035-34.2025.8.12.0849,MS,Não reconhece operação,Golpe,Êxito,Extinção,"17.277,10","0,00"
5033053-69.2025.8.07.0187,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.029,28","13.879,32"
3038808-80.2025.8.11.3038,MT,Não reconhece operação,Golpe,Êxito,Extinção,"9.143,35","0,00"
6651722-10.2025.8.09.8944,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.419,51","17.356,58"
4109130-14.2025.8.18.4287,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"15.756,28","0,00"
4134274-30.2025.8.03.7480,AP,Não reconhece operação,Golpe,Êxito,Extinção,"12.072,06","0,00"
5021028-00.2025.8.10.6503,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"4.110,54","0,00"
6102208-20.2025.8.04.0789,AM,Não reconhece operação,Genérico,Êxito,Improcedência,"21.032,42","0,00"
5258852-76.2025.8.26.0826,SP,Não reconhece operação,Genérico,Êxito,Improcedência,"10.776,48","0,00"
5407142-68.2025.8.17.9512,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"21.991,89","0,00"
4957606-37.2025.8.10.7492,MA,Não reconhece operação,Golpe,Êxito,Extinção,"13.807,69","0,00"
7430982-45.2025.8.25.6727,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.396,93","7.138,93"
4531717-89.2025.8.08.8764,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"17.379,94","0,00"
6543860-90.2025.8.12.4477,MS,Não reconhece operação,Golpe,Êxito,Extinção,"15.105,96","0,00"
6972352-75.2025.8.25.5376,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"20.289,76","0,00"
9532010-88.2025.8.02.5851,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,"20.205,26","18.184,73"
6567954-34.2025.8.14.0935,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.576,36","8.162,76"
5091112-70.2025.8.07.7716,DF,Não reconhece operação,Genérico,Êxito,Improcedência,"6.264,69","0,00"
3130364-60.2025.8.03.7431,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"12.879,18","0,00"
2949619-72.2025.8.06.4255,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"13.521,46","0,00"
2894145-78.2025.8.24.6503,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"8.387,90","0,00"
4640418-17.2025.8.15.0514,PB,Não reconhece operação,Genérico,Êxito,Improcedência,"7.304,82","0,00"
7995276-04.2025.8.10.3835,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"17.198,11","0,00"
1257208-96.2025.8.02.5719,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"11.247,93","0,00"
2822027-65.2025.8.08.0242,ES,Não reconhece operação,Golpe,Não Êxito,Procedência,"8.942,87","7.512,01"
4995267-34.2025.8.03.0132,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"6.822,72","6.072,22"
2402899-11.2025.8.22.7333,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"12.147,93","0,00"
6377447-25.2025.8.19.3381,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.902,43","13.710,24"
3739560-58.2025.8.17.7872,PE,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.689,44","10.403,60"
5154322-17.2025.8.09.9513,GO,Não reconhece operação,Genérico,Êxito,Extinção,"10.305,60","0,00"
8291839-75.2025.8.05.1434,BA,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"15.755,02","12.446,47"
8879967-03.2025.8.21.8622,RS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"13.812,17","8.701,67"
9409598-67.2025.8.01.2864,AC,Não reconhece operação,Golpe,Êxito,Extinção,"13.932,64","0,00"
2778362-01.2025.8.10.3457,MA,Não reconhece operação,Genérico,Êxito,Extinção,"13.557,42","0,00"
9423227-14.2025.8.09.4484,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.151,90","18.613,67"
1444541-12.2025.8.16.1830,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"13.407,24","0,00"
9094041-86.2025.8.10.1493,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"9.099,38","0,00"
6691121-13.2025.8.25.4443,SE,Não reconhece operação,Genérico,Êxito,Improcedência,"15.400,56","0,00"
2500120-81.2025.8.19.0497,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"15.032,86","14.431,55"
9599416-78.2025.8.10.8459,MA,Não reconhece operação,Golpe,Êxito,Extinção,"3.031,96","0,00"
3803813-22.2025.8.24.2329,SC,Não reconhece operação,Genérico,Êxito,Improcedência,"12.654,53","0,00"
6279231-89.2025.8.26.4659,SP,Não reconhece operação,Golpe,Êxito,Extinção,"3.631,04","0,00"
2301796-95.2025.8.06.2392,CE,Não reconhece operação,Genérico,Êxito,Extinção,"19.230,67","0,00"
4409447-35.2025.8.17.7381,PE,Não reconhece operação,Golpe,Êxito,Extinção,"17.334,26","0,00"
6651935-46.2025.8.10.4144,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"14.390,74","0,00"
3226931-79.2025.8.02.5960,AL,Não reconhece operação,Golpe,Êxito,Extinção,"16.873,39","0,00"
4921813-98.2025.8.21.3227,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"23.892,67","19.591,99"
6966798-23.2025.8.06.8609,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"17.432,15","10.807,93"
4370789-61.2025.8.25.7532,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,"20.398,11","20.194,13"
4663188-41.2025.8.05.9739,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.388,21","19.980,45"
7798187-93.2025.8.05.3958,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"8.346,23","0,00"
7242831-45.2025.8.18.2880,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"5.683,63","0,00"
5489909-00.2025.8.21.5450,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.008,42","11.525,39"
9256846-27.2025.8.16.0304,PR,Não reconhece operação,Genérico,Êxito,Improcedência,"18.350,15","0,00"
2156800-64.2025.8.14.3961,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"19.520,11","0,00"
9001679-71.2025.8.15.1119,PB,Não reconhece operação,Golpe,Êxito,Extinção,"18.423,12","0,00"
2103852-19.2025.8.06.8591,CE,Não reconhece operação,Genérico,Êxito,Improcedência,"11.351,86","0,00"
9612599-71.2025.8.06.9221,CE,Não reconhece operação,Golpe,Êxito,Improcedência,"9.708,52","0,00"
9582985-05.2025.8.17.8624,PE,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.063,56","13.922,92"
4078171-87.2025.8.11.6805,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"18.068,10","0,00"
3881077-85.2025.8.06.4025,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.249,32","4.637,26"
3176030-04.2025.8.11.7960,MT,Não reconhece operação,Golpe,Não Êxito,Procedência,"23.577,18","22.869,86"
1703883-19.2025.8.08.7059,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"10.377,63","0,00"
7091112-91.2025.8.04.4504,AM,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"6.637,87","6.173,22"
4399202-90.2025.8.10.9960,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"15.936,60","0,00"
4932645-93.2025.8.12.5186,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.818,81","7.909,41"
7284368-46.2025.8.13.6956,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"14.395,12","0,00"
9751452-03.2025.8.02.8875,AL,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"11.846,77","8.055,80"
6298472-42.2025.8.08.6489,ES,Não reconhece operação,Genérico,Êxito,Extinção,"17.417,09","0,00"
9068308-26.2025.8.21.6263,RS,Não reconhece operação,Genérico,Êxito,Extinção,"18.719,57","0,00"
6363747-29.2025.8.04.3885,AM,Não reconhece operação,Golpe,Êxito,Extinção,"14.262,83","0,00"
9844923-02.2025.8.02.3463,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,"17.428,27","16.382,57"
1552101-97.2025.8.11.2963,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"8.733,77","0,00"
5982654-19.2025.8.25.1360,SE,Não reconhece operação,Genérico,Êxito,Improcedência,"22.293,16","0,00"
3428990-61.2025.8.06.5294,CE,Não reconhece operação,Golpe,Êxito,Improcedência,"9.308,69","0,00"
3012818-71.2025.8.18.3068,PI,Não reconhece operação,Genérico,Êxito,Extinção,"7.414,17","0,00"
4911833-07.2025.8.01.3553,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"10.376,41","0,00"
1827722-78.2025.8.04.7804,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"14.179,94","0,00"
7276703-06.2025.8.19.9791,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.392,38","8.779,35"
9566073-97.2025.8.18.7103,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"14.308,15","0,00"
7008560-14.2025.8.12.6209,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"13.847,74","0,00"
5758905-32.2025.8.14.5886,PA,Não reconhece operação,Genérico,Êxito,Improcedência,"14.089,30","0,00"
